name,college,programme
"Zafar Husain, Ph.D",Business,BBA in Management
"Zafar Husain, Ph.D",Business,BBA in Human Resource Management
"Zafar Husain, Ph.D",Business,BBA in Business Analytics
"Zafar Husain, Ph.D",Business,Master of Business Administration
"Zafar Husain, Ph.D",Business,Doctor of Business Administration (DBA)
"Iffat Sabir, Ph.D",Business,BBA in Management
"Iffat Sabir, Ph.D",Business,BBA in Human Resource Management
"Iffat Sabir, Ph.D",Business,Master of Business Administration
"Iffat Sabir, Ph.D",Business,Doctor of Business Administration (DBA)
"Jamil Razmak, Ph.D",Business,BBA in Management
"Jamil Razmak, Ph.D",Business,BBA in Business Analytics
"Jamil Razmak, Ph.D",Business,Master of Business Administration
"Jamil Razmak, Ph.D",Business,Master of Science in Business Data Analytics
"Riham Suleiman Muqattash, Ph.D",Business,BBA in Accounting
"Riham Suleiman Muqattash, Ph.D",Business,Master of Business Administration
"Mohammad Ahmad Al Omari, Ph.D",Business,BBA in Management
"Mohammad Ahmad Al Omari, Ph.D",Business,BBA in Human Resource Management
"Mohammad Ahmad Al Omari, Ph.D",Business,Master of Business Administration
"Abdelhafid Belarbi, Ph.D",Business,BBA in Finance and Banking
"Abdelhafid Belarbi, Ph.D",Business,Master of Business Administration
"Abdelhafid Belarbi, Ph.D",Business,Master of Science in Business Data Analytics
"Habib Chabchoub, Ph.D",Business,BBA in Management
"Habib Chabchoub, Ph.D",Business,Master of Business Administration
"Habib Chabchoub, Ph.D",Business,Doctor of Business Administration (DBA)
"Mohammed Nuseir, Ph.D",Business,Master of Business Administration
"Amer Mohammad Jaser Qasem, Ph.D",Business,BBA in Accounting
"Amer Mohammad Jaser Qasem, Ph.D",Business,BBA in Finance and Banking
"Amer Mohammad Jaser Qasem, Ph.D",Business,Master of Business Administration
"Belkacem Athamena, Ph.D",Business,BBA in Management Information Systems
"Belkacem Athamena, Ph.D",Business,BBA in Business Analytics
"Belkacem Athamena, Ph.D",Business,Master of Business Administration
"Belkacem Athamena, Ph.D",Business,Master of Science in Business Data Analytics
"Mohanad Ali Halaweh, Ph.D",Business,BBA in Management Information Systems
"Mohanad Ali Halaweh, Ph.D",Business,BBA in Business Analytics
"Mohanad Ali Halaweh, Ph.D",Business,Master of Science in Business Data Analytics
"Rania Badreldin Mostafa, Ph.D",Business,BBA in Marketing
"Rania Badreldin Mostafa, Ph.D",Business,Master of Business Administration
"Shorouq F. Eletter, Ph.D",Business,BBA in Management
"Shorouq F. Eletter, Ph.D",Business,BBA in Business Analytics
"Shorouq F. Eletter, Ph.D",Business,Master of Business Administration
"Shorouq F. Eletter, Ph.D",Business,Master of Science in Business Data Analytics
"Shorouq F. Eletter, Ph.D",Business,Doctor of Business Administration (DBA)
"Ibrahim Niankara, Ph.D",Business,BBA in Finance and Banking
"Ibrahim Niankara, Ph.D",Business,BBA in Business Analytics
"Ibrahim Niankara, Ph.D",Business,Master of Business Administration
"Ibrahim Niankara, Ph.D",Business,Master of Science in Business Data Analytics
"Mosab Tabash, Ph.D",Business,BBA in Finance and Banking
"Mosab Tabash, Ph.D",Business,Master of Business Administration
"Mariam Farooq, Ph.D",Business,BBA in Human Resource Management
"Mariam Farooq, Ph.D",Business,Master of Business Administration
"Kholoud Al Qeisi, Ph.D",Business,BBA in Marketing
"Kholoud Al Qeisi, Ph.D",Business,Master of Business Administration
"Tahira Yasmin, Ph.D",Business,BBA in Management
"Tahira Yasmin, Ph.D",Business,Master of Business Administration
"Wejdan Farhan, Ph.D",Business,BBA in Management Information Systems
"Wejdan Farhan, Ph.D",Business,BBA in Business Analytics
"Wejdan Farhan, Ph.D",Business,Master of Business Administration
"Wejdan Farhan, Ph.D",Business,Master of Science in Business Data Analytics
"Mohamed Elmaghrabi, Ph.D",Business,BBA in Accounting
"Mohamed Elmaghrabi, Ph.D",Business,BBA in Finance and Banking
"Mohamed Elmaghrabi, Ph.D",Business,Master of Business Administration
"Mohammad Sharairi, Ph.D",Business,BBA in Accounting
"Mohammad Sharairi, Ph.D",Business,Master of Business Administration
"Maha Nayef Rahrouh, Ph.D",Business,BBA in Finance and Banking
"Maha Nayef Rahrouh, Ph.D",Business,Master of Business Administration
"Maha Nayef Rahrouh, Ph.D",Business,Master of Science in Business Data Analytics
"Yasin Khalil Karsoo, Ph.D",Business,BBA in Management
"Yasin Khalil Karsoo, Ph.D",Business,BBA in Human Resource Management
"Mohamed Ahmed Shaker Ahmed, Ph.D",Business,BBA in Accounting
"Mohamed Ahmed Shaker Ahmed, Ph.D",Business,BBA in Finance and Banking
"Mohsin Murtaza, PhD",Business,none
Sajjad Ahamed,Business,none
Manar Hamed,Business,none
Fidha Parvin,Business,none
Malak Hidq,Business,none
"Qutaibah Althebyan, Ph.D",Engineering,Bachelor of Science in Software Engineering
"Qutaibah Althebyan, Ph.D",Engineering,Bachelor of Science in Computer Science
"Qutaibah Althebyan, Ph.D",Engineering,Bachelor of Science in Cybersecurity
"Faten Kharbat, Ph.D",Engineering,Bachelor of Science in Computer Science
"Mawahib H. Sulieman, Ph.D",Engineering,Bachelor of Science in Computer Engineering
"Mawahib H. Sulieman, Ph.D",Engineering,Bachelor of Science in Networks and Communication Engineering
"Thabet Mismar, Ph.D",Engineering,Bachelor of Science in Computer Engineering
"Thabet Mismar, Ph.D",Engineering,Bachelor of Science in Networks and Communication Engineering
"Saqib Iqbal, Ph.D",Engineering,Bachelor of Science in Software Engineering
"Saqib Iqbal, Ph.D",Engineering,Bachelor of Science in Computer Science
"Yazeed Yasin Ghadi, Ph.D",Engineering,Bachelor of Science in Software Engineering
"Yazeed Yasin Ghadi, Ph.D",Engineering,Bachelor of Science in Computer Science
"Yazeed Yasin Ghadi, Ph.D",Engineering,Master of Science in Software Systems Engineering
"Zina Houhamdi, Ph.D",Engineering,Bachelor of Science in Software Engineering
"Zina Houhamdi, Ph.D",Engineering,Bachelor of Science in Computer Science
"Zina Houhamdi, Ph.D",Engineering,Bachelor of Science in Cybersecurity
"Zina Houhamdi, Ph.D",Engineering,Master of Science in Artificial Intelligence
"Muath Ziad Najib Al-Shaikh, Ph.D",Engineering,Bachelor of Science in Cybersecurity
"Nazih Khaddaj Mallat, Ph.D",Engineering,Bachelor of Science in Networks and Communication Engineering
"Haythem Bany Salameh, Ph.D",Engineering,Bachelor of Science in Networks and Communication Engineering
"Haythem Bany Salameh, Ph.D",Engineering,Master of Science in Software Systems Engineering
"Haythem Bany Salameh, Ph.D",Engineering,Master of Science in Artificial Intelligence
"Mohammad AlHassan, Ph.D",Engineering,Bachelor of Science in Civil Engineering
"Hussam Abdel-Karim Al-Rabai'ah, Ph.D",Engineering,Bachelor of Science in Software Engineering
"Hussam Abdel-Karim Al-Rabai'ah, Ph.D",Engineering,Bachelor of Science in Computer Science
"Mousa Bani Baker, Ph.D",Engineering,Bachelor of Science in Civil Engineering
"Layla Khalil Amaireh, Ph.D",Engineering,Bachelor of Science in Civil Engineering
"Issam Al-Azzoni, Ph.D",Engineering,Bachelor of Science in Software Engineering
"Issam Al-Azzoni, Ph.D",Engineering,Bachelor of Science in Computer Science
"Issam Al-Azzoni, Ph.D",Engineering,Master of Science in Artificial Intelligence
"Mohammad Sh. Daoud, Ph.D",Engineering,Bachelor of Science in Computer Science
"Mohammad Sh. Daoud, Ph.D",Engineering,Master of Science in Software Systems Engineering
"Muath Jodei Al Hasan, Ph.D",Engineering,Bachelor of Science in Networks and Communication Engineering
"Khubaib Amjad Alam, Ph.D",Engineering,Bachelor of Science in Software Engineering
"Nuha Hamed Hamada, Ph.D",Engineering,Bachelor of Science in Computer Science
"Ubaid Ullah, Ph.D",Engineering,Bachelor of Science in Networks and Communication Engineering
"Noor Aldeen Alawad, Ph.D",Engineering,Bachelor of Science in Artificial Intelligence and Robotics
"Noor Aldeen Alawad, Ph.D",Engineering,Master of Science in Artificial Intelligence
"Armagan Elibol, Ph.D",Engineering,Bachelor of Science in Artificial Intelligence and Robotics
"Armagan Elibol, Ph.D",Engineering,Master of Science in Artificial Intelligence
"Salah Taamneh, Ph.D",Engineering,none
"Mohammad Khaled Al-Hattab, Ph.D",Engineering,Bachelor of Science in Computer Engineering
"Tarik Elamsy, Ph.D",Engineering,Bachelor of Science in Computer Science
"Tareq Mohamed Oshan, Ph.D",Engineering,Bachelor of Science in Computer Science
